Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Start Date
DNB,-,-,-,-,-,-,-,2,Test v South Africa,Bengaluru,14-Nov-15
22,73,55,2,0,40,4,caught,1,Test v South Africa,Nagpur,25-Nov-15
16,49,30,2,0,53.33,4,caught,3,Test v South Africa,Nagpur,25-Nov-15
44,74,62,7,0,70.96,4,caught,1,Test v South Africa,Delhi,03-Dec-15
88,259,165,10,0,53.33,5,lbw,3,Test v South Africa,Delhi,03-Dec-15
91,148,97,9,1,93.81,3,caught,1,ODI v Australia,Perth,12-Jan-16
59,84,67,4,0,88.05,3,run out,1,ODI v Australia,Brisbane,15-Jan-16
117,174,117,7,2,100,3,caught,1,ODI v Australia,Melbourne,17-Jan-16
106,131,92,11,1,115.21,3,caught,2,ODI v Australia,Canberra,20-Jan-16
8,11,11,1,0,72.72,3,caught,2,ODI v Australia,Sydney,23-Jan-16
90*,71,55,9,2,163.63,3,not out,1,T20I v Australia,Adelaide,26-Jan-16
59*,44,33,7,1,178.78,3,not out,1,T20I v Australia,Melbourne,29-Jan-16
50,49,36,2,1,138.88,3,bowled,2,T20I v Australia,Sydney,31-Jan-16
7,13,12,1,0,58.33,3,caught,1,T20I v Bangladesh,Mirpur,24-Feb-16
49,71,51,7,0,96.07,3,lbw,2,T20I v Pakistan,Mirpur,27-Feb-16
56*,85,47,7,0,119.14,3,not out,2,T20I v Sri Lanka,Mirpur,01-Mar-16
DNB,-,-,-,-,-,-,-,2,T20I v U.A.E.,Mirpur,03-Mar-16
41*,62,28,5,0,146.42,3,not out,2,T20I v Bangladesh,Mirpur,06-Mar-16
23,-,27,2,0,85.18,3,caught,2,T20I v New Zealand,Nagpur,15-Mar-16
55*,66,37,7,1,148.64,3,not out,2,T20I v Pakistan,Eden Gardens,19-Mar-16
24,37,24,0,1,100,3,bowled,1,T20I v Bangladesh,Bengaluru,23-Mar-16
82*,78,51,9,2,160.78,3,not out,2,T20I v Australia,Mohali,27-Mar-16
89*,63,47,11,1,189.36,3,not out,1,T20I v West Indies,Wankhede,31-Mar-16
200,375,283,24,0,70.67,4,bowled,1,Test v West Indies,North Sound,21-Jul-16
44,144,90,4,1,48.88,4,caught,2,Test v West Indies,Kingston,30-Jul-16
3,17,8,0,0,37.5,3,caught,1,Test v West Indies,Gros Islet,09-Aug-16
4,21,17,0,0,23.52,3,lbw,3,Test v West Indies,Gros Islet,09-Aug-16
TDNB,-,-,-,-,-,-,-,-,Test v West Indies,Port of Spain,18-Aug-16
16,8,9,3,0,177.77,3,caught,2,T20I v West Indies,Lauderhill,27-Aug-16
DNB,-,-,-,-,-,-,-,2,T20I v West Indies,Lauderhill,28-Aug-16
9,12,10,2,0,90,4,caught,1,Test v New Zealand,Kanpur,22-Sep-16
18,45,40,3,0,45,4,caught,3,Test v New Zealand,Kanpur,22-Sep-16
9,42,28,1,0,32.14,4,caught,1,Test v New Zealand,Eden Gardens,30-Sep-16
45,82,65,7,0,69.23,4,lbw,3,Test v New Zealand,Eden Gardens,30-Sep-16
211,536,366,20,0,57.65,4,lbw,1,Test v New Zealand,Indore,08-Oct-16
17,36,28,1,0,60.71,4,lbw,3,Test v New Zealand,Indore,08-Oct-16
85*,109,81,9,1,104.93,3,not out,2,ODI v New Zealand,Dharamsala,16-Oct-16
9,18,13,1,0,69.23,3,caught,2,ODI v New Zealand,Delhi,20-Oct-16
